[CC] 0.785000mA,

测量时间,已测时间 (H),光感电流 (uA),亮度剩余比例 (%),器件亮度 (cd/m2),电压 (V),电流 (mA)
2026/4/1 18:18:37,0.000000,3.997817,100.000000,934.536244,3.645788,0.786706,
2026/4/1 18:23:37,0.083335,3.996153,99.958379,934.147278,3.657321,0.786693,
2026/4/1 18:28:37,0.166670,3.995129,99.932755,933.907813,3.658892,0.786687,
2026/4/1 18:33:37,0.250004,3.994279,99.911499,933.709174,3.659935,0.786679,
2026/4/1 18:38:37,0.333339,3.993401,99.889543,933.503984,3.660966,0.786669,
2026/4/1 18:43:37,0.416674,3.992614,99.869866,933.320099,3.661959,0.786673,
2026/4/1 18:48:37,0.500009,3.991765,99.848629,933.121631,3.662751,0.786659,
2026/4/1 18:53:37,0.583343,3.991024,99.830081,932.948288,3.663432,0.786665,
2026/4/1 18:58:37,0.666677,3.990088,99.806666,932.729469,3.664268,0.786663,
2026/4/1 19:03:37,0.750011,3.989355,99.788339,932.558198,3.664956,0.786658,
2026/4/1 19:08:37,0.833345,3.988478,99.766412,932.353279,3.665620,0.786635,
2026/4/1 19:13:37,0.916681,3.987757,99.748363,932.184602,3.666444,0.786638,
2026/4/1 19:18:37,1.000016,3.986942,99.727982,931.994140,3.666991,0.786633,
2026/4/1 19:23:37,1.083350,3.986342,99.712973,931.853876,3.667480,0.786650,
2026/4/1 19:28:37,1.166684,3.985497,99.691824,931.656226,3.667899,0.786638,
2026/4/1 19:33:37,1.250018,3.984903,99.676965,931.517364,3.668296,0.786646,
2026/4/1 19:38:37,1.333351,3.984121,99.657416,931.334675,3.668622,0.786637,
2026/4/1 19:43:37,1.416686,3.983338,99.637818,931.151522,3.668990,0.786640,
2026/4/1 19:48:37,1.500019,3.982614,99.619730,930.982484,3.669322,0.786634,
2026/4/1 19:53:37,1.583354,3.982018,99.604825,930.843188,3.669633,0.786653,
2026/4/1 19:58:37,1.666688,3.981287,99.586525,930.672175,3.669782,0.786647,
2026/4/1 20:03:37,1.750024,3.980525,99.567467,930.494067,3.670120,0.786644,
2026/4/1 20:08:37,1.833358,3.979874,99.551193,930.341977,3.670409,0.786648,
2026/4/1 20:13:37,1.916692,3.979247,99.535488,930.195213,3.670428,0.786650,
2026/4/1 20:18:37,2.000027,3.978520,99.517307,930.025301,3.670572,0.786653,
2026/4/1 20:23:37,2.083361,3.977886,99.501450,929.877117,3.670599,0.786660,
2026/4/1 20:28:37,2.166694,3.977138,99.482745,929.702309,3.670747,0.786660,
2026/4/1 20:33:37,2.250028,3.976603,99.469364,929.577259,3.670785,0.786672,
2026/4/1 20:38:37,2.333362,3.975749,99.447998,929.377585,3.670741,0.786657,
2026/4/1 20:43:37,2.416696,3.975218,99.434732,929.253606,3.670851,0.786675,
2026/4/1 20:48:37,2.500031,3.974543,99.417835,929.095699,3.670871,0.786671,
2026/4/1 20:53:37,2.583366,3.973815,99.399630,928.925568,3.670777,0.786657,
2026/4/1 20:58:37,2.666701,3.973337,99.387668,928.813778,3.671126,0.786682,
2026/4/1 21:03:37,2.750035,3.972651,99.370519,928.653519,3.671206,0.786656,
2026/4/1 21:08:37,2.833369,3.971945,99.352838,928.488278,3.671474,0.786665,
2026/4/1 21:13:37,2.916704,3.971344,99.337807,928.347814,3.671872,0.786657,
2026/4/1 21:18:37,3.000039,3.970593,99.319034,928.172372,3.671988,0.786645,
2026/4/1 21:23:37,3.083373,3.970086,99.306346,928.053796,3.672398,0.786648,
2026/4/1 21:28:37,3.166709,3.969351,99.287977,927.882127,3.672725,0.786647,
2026/4/1 21:33:37,3.250044,3.968723,99.272244,927.735097,3.673065,0.786629,
2026/4/1 21:38:37,3.333377,3.968071,99.255942,927.582752,3.673524,0.786631,
2026/4/1 21:43:37,3.416711,3.967482,99.241203,927.445010,3.673807,0.786633,
2026/4/1 21:48:37,3.500046,3.966877,99.226091,927.303782,3.674213,0.786641,
2026/4/1 21:53:37,3.583381,3.966331,99.212428,927.176099,3.674391,0.786634,
2026/4/1 21:58:37,3.666715,3.965644,99.195237,927.015441,3.674624,0.786621,
2026/4/1 22:03:37,3.750050,3.965020,99.179620,926.869493,3.674767,0.786626,
2026/4/1 22:08:37,3.833385,3.964648,99.170330,926.782678,3.675139,0.786628,
2026/4/1 22:13:37,3.916719,3.964019,99.154583,926.635512,3.675306,0.786619,
2026/4/1 22:18:37,4.000052,3.963306,99.136762,926.468970,3.675422,0.786636,
2026/4/1 22:23:37,4.083387,3.962621,99.119634,926.308903,3.675612,0.786614,
2026/4/1 22:28:37,4.166721,3.962134,99.107443,926.194980,3.675606,0.786636,
2026/4/1 22:33:37,4.250056,3.961540,99.092594,926.056204,3.675795,0.786626,
2026/4/1 22:38:37,4.333391,3.961171,99.083352,925.969837,3.676182,0.786639,
2026/4/1 22:43:37,4.416726,3.960638,99.070029,925.845329,3.675991,0.786631,
2026/4/1 22:48:37,4.500059,3.959857,99.050487,925.662705,3.676141,0.786636,
2026/4/1 22:53:37,4.583393,3.959329,99.037279,925.539267,3.676183,0.786650,
2026/4/1 22:58:37,4.666728,3.958765,99.023172,925.407435,3.676110,0.786648,
2026/4/1 23:03:37,4.750063,3.958131,99.007301,925.259112,3.675850,0.786643,
2026/4/1 23:08:37,4.833397,3.957793,98.998867,925.180290,3.675857,0.786653,
2026/4/1 23:13:37,4.916730,3.957289,98.986252,925.062405,3.675714,0.786659,
2026/4/1 23:18:37,5.000064,3.956522,98.967070,924.883137,3.675622,0.786656,
2026/4/1 23:23:37,5.083399,3.955898,98.951465,924.737306,3.675512,0.786658,
2026/4/1 23:28:37,5.166732,3.955346,98.937639,924.608094,3.675524,0.786649,
2026/4/1 23:33:37,5.250067,3.954804,98.924092,924.481498,3.675592,0.786651,
2026/4/1 23:38:37,5.333402,3.954535,98.917354,924.418525,3.675623,0.786665,
2026/4/1 23:43:37,5.416737,3.953956,98.902889,924.283347,3.675753,0.786651,
2026/4/1 23:48:37,5.500070,3.953246,98.885127,924.117351,3.675533,0.786647,
2026/4/1 23:53:37,5.583404,3.952629,98.869692,923.973105,3.675532,0.786657,
2026/4/1 23:58:37,5.666738,3.952183,98.858542,923.868908,3.675503,0.786667,
2026/4/2 0:03:37,5.750073,3.951626,98.844597,923.738586,3.675218,0.786669,
2026/4/2 0:08:37,5.833407,3.951293,98.836266,923.660730,3.675240,0.786668,
2026/4/2 0:13:37,5.916743,3.950805,98.824058,923.546638,3.675180,0.786677,
2026/4/2 0:18:37,6.000077,3.950051,98.805203,923.370429,3.674975,0.786670,
2026/4/2 0:23:37,6.083412,3.949535,98.792295,923.249805,3.674980,0.786677,
2026/4/2 0:28:37,6.166747,3.949005,98.779031,923.125843,3.675064,0.786661,
2026/4/2 0:33:37,6.250082,3.948513,98.766729,923.010877,3.674994,0.786669,
2026/4/2 0:38:37,6.333416,3.948227,98.759585,922.944112,3.675135,0.786650,
2026/4/2 0:43:37,6.416751,3.947688,98.746084,922.817945,3.675229,0.786665,
2026/4/2 0:48:37,6.500085,3.946925,98.727007,922.639666,3.675309,0.786666,
2026/4/2 0:53:37,6.583419,3.946396,98.713785,922.516097,3.675418,0.786658,
2026/4/2 0:58:37,6.666753,3.945845,98.699999,922.387264,3.675456,0.786646,
2026/4/2 1:03:37,6.750088,3.945381,98.688391,922.278782,3.675517,0.786654,
2026/4/2 1:08:37,6.833423,3.945145,98.682484,922.223579,3.675669,0.786652,
2026/4/2 1:13:37,6.916758,3.944580,98.668341,922.091409,3.675839,0.786652,
2026/4/2 1:18:37,7.000091,3.943872,98.650638,921.925966,3.675881,0.786652,
2026/4/2 1:23:37,7.083425,3.943293,98.636158,921.790646,3.675894,0.786643,
2026/4/2 1:28:37,7.166760,3.942802,98.623879,921.675897,3.676198,0.786652,
2026/4/2 1:33:37,7.250097,3.942244,98.609923,921.545472,3.676105,0.786630,
2026/4/2 1:38:37,7.333431,3.941995,98.603684,921.487164,3.676363,0.786642,
2026/4/2 1:43:37,7.416766,3.941188,98.583514,921.298665,3.676510,0.786628,
2026/4/2 1:48:37,7.500101,3.940782,98.573354,921.203718,3.676527,0.786645,
2026/4/2 1:53:37,7.583436,3.940338,98.562243,921.099880,3.676623,0.786650,
2026/4/2 1:58:37,7.666771,3.940024,98.554388,921.026480,3.676782,0.786642,
2026/4/2 2:03:37,7.750106,3.939617,98.544207,920.931329,3.676810,0.786639,
2026/4/2 2:08:37,7.833443,3.939085,98.530904,920.807010,3.676751,0.786651,
2026/4/2 2:13:37,7.916776,3.938340,98.512268,920.632847,3.676801,0.786646,
2026/4/2 2:18:37,8.000111,3.937792,98.498569,920.504823,3.676919,0.786642,
2026/4/2 2:28:37,8.166778,3.936866,98.475400,920.288307,3.677052,0.786641,
2026/4/2 2:38:37,8.333445,3.935824,98.449325,920.044623,3.677602,0.786613,
2026/4/2 2:48:37,8.500113,3.934806,98.423872,919.806755,3.678192,0.786614,
2026/4/2 2:58:37,8.666780,3.933884,98.400806,919.591195,3.678932,0.786593,
2026/4/2 3:08:37,8.833448,3.932867,98.375368,919.353469,3.679462,0.786595,
2026/4/2 3:18:37,9.000116,3.931984,98.353281,919.147060,3.679975,0.786595,
2026/4/2 3:28:37,9.166783,3.930985,98.328294,918.913548,3.680450,0.786590,
2026/4/2 3:38:37,9.333451,3.930002,98.303698,918.683688,3.680631,0.786588,
2026/4/2 3:48:37,9.500118,3.929056,98.280032,918.462516,3.680954,0.786586,
2026/4/2 3:58:37,9.666787,3.928152,98.257423,918.251230,3.681239,0.786598,
2026/4/2 4:08:37,9.833454,3.927286,98.235768,918.048854,3.681345,0.786580,
2026/4/2 4:18:37,10.000123,3.926476,98.215497,917.859415,3.681147,0.786619,
2026/4/2 4:28:37,10.166791,3.925528,98.191781,917.637785,3.681063,0.786625,
2026/4/2 4:38:37,10.333458,3.924619,98.169060,917.425444,3.680717,0.786618,
2026/4/2 4:48:37,10.500125,3.923733,98.146880,917.218163,3.680466,0.786636,
2026/4/2 4:58:37,10.666794,3.922906,98.126202,917.024925,3.680030,0.786644,
2026/4/2 5:08:37,10.833462,3.922034,98.104391,916.821091,3.679896,0.786648,
2026/4/2 5:18:37,11.000129,3.921127,98.081700,916.609038,3.679591,0.786636,
2026/4/2 5:28:37,11.166797,3.920300,98.061019,916.415766,3.679347,0.786662,
2026/4/2 5:38:37,11.333464,3.919378,98.037947,916.200151,3.679103,0.786656,
2026/4/2 5:48:37,11.500132,3.918464,98.015086,915.986502,3.678721,0.786647,
2026/4/2 5:58:37,11.666799,3.917552,97.992286,915.773431,3.678755,0.786645,
2026/4/2 6:08:37,11.833468,3.916754,97.972313,915.586770,3.678651,0.786645,
2026/4/2 6:18:37,12.000135,3.916009,97.953698,915.412813,3.678659,0.786660,
2026/4/2 6:28:37,12.166803,3.915114,97.931309,915.203581,3.678658,0.786668,
2026/4/2 6:38:37,12.333471,3.914279,97.910405,915.008217,3.678360,0.786657,
2026/4/2 6:48:37,12.500138,3.913336,97.886812,914.787739,3.678436,0.786658,
2026/4/2 6:58:37,12.666805,3.912533,97.866748,914.600231,3.678211,0.786657,
2026/4/2 7:08:37,12.833473,3.911765,97.847529,914.420619,3.678016,0.786665,
2026/4/2 7:18:37,13.000141,3.910906,97.826030,914.219707,3.677775,0.786669,
2026/4/2 7:28:37,13.166809,3.910019,97.803864,914.012555,3.677531,0.786662,
2026/4/2 7:38:37,13.333478,3.909249,97.784589,913.832423,3.677368,0.786661,
2026/4/2 7:48:37,13.500146,3.908436,97.764268,913.642514,3.677259,0.786677,
2026/4/2 7:58:37,13.666814,3.907564,97.742441,913.438539,3.676878,0.786681,
2026/4/2 8:08:37,13.833480,3.906782,97.722886,913.255788,3.676832,0.786680,
2026/4/2 8:18:37,14.000147,3.905973,97.702653,913.066706,3.676760,0.786680,
2026/4/2 8:28:37,14.166815,3.905085,97.680430,912.859022,3.676493,0.786671,
2026/4/2 8:38:37,14.333483,3.904243,97.659379,912.662294,3.676582,0.786659,
2026/4/2 8:48:37,14.500152,3.903328,97.636479,912.448279,3.676825,0.786657,
2026/4/2 8:58:37,14.666820,3.902542,97.616824,912.264602,3.676949,0.786657,
2026/4/2 9:08:37,14.833489,3.901837,97.599185,912.099756,3.676941,0.786663,
2026/4/2 9:18:37,15.000156,3.900941,97.576771,911.890288,3.677148,0.786647,
2026/4/2 9:28:37,15.166823,3.900036,97.554143,911.678822,3.677610,0.786624,
2026/4/2 9:38:37,15.333490,3.899264,97.534827,911.498312,3.678128,0.786627,
2026/4/2 9:48:37,15.500158,3.898436,97.514133,911.304918,3.678443,0.786616,
2026/4/2 9:58:37,15.666824,3.897657,97.494634,911.122690,3.678774,0.786613,
2026/4/2 10:08:37,15.833491,3.896934,97.476558,910.953765,3.678761,0.786625,
2026/4/2 10:18:37,16.000159,3.896141,97.456708,910.768255,3.678628,0.786631,
2026/4/2 10:28:37,16.166827,3.895402,97.438225,910.595526,3.678430,0.786649,
2026/4/2 10:38:37,16.333494,3.894679,97.420141,910.426524,3.677964,0.786663,
2026/4/2 10:48:37,16.500161,3.893891,97.400426,910.242285,3.677522,0.786663,
2026/4/2 10:58:37,16.666829,3.893122,97.381187,910.062486,3.677365,0.786661,
2026/4/2 11:08:37,16.833496,3.892278,97.360094,909.865370,3.677004,0.786664,
2026/4/2 11:18:37,17.000164,3.891558,97.342078,909.697000,3.676747,0.786661,
2026/4/2 11:28:37,17.166833,3.890659,97.319583,909.486779,3.676889,0.786659,
2026/4/2 11:38:37,17.333502,3.889924,97.301201,909.314991,3.677002,0.786636,
2026/4/2 11:48:37,17.500172,3.889188,97.282790,909.142931,3.677371,0.786634,
2026/4/2 11:58:37,17.666839,3.888329,97.261296,908.942061,3.677617,0.786620,
2026/4/2 12:08:37,17.833506,3.887664,97.244686,908.786833,3.677914,0.786632,
2026/4/2 12:18:37,18.000174,3.886913,97.225901,908.611285,3.677678,0.786646,
2026/4/2 12:28:37,18.166842,3.886327,97.211235,908.474227,3.677344,0.786665,
2026/4/2 12:38:37,18.333510,3.885601,97.193068,908.304451,3.676803,0.786680,
2026/4/2 12:48:37,18.500177,3.884999,97.178025,908.163864,3.676544,0.786668,
2026/4/2 12:58:37,18.666846,3.884252,97.159322,907.989081,3.676061,0.786672,
2026/4/2 13:08:37,18.833513,3.883604,97.143119,907.837656,3.675861,0.786696,
2026/4/2 13:18:37,19.000180,3.882546,97.116657,907.590363,3.675433,0.786679,
2026/4/2 13:28:38,19.166847,3.881818,97.098433,907.420052,3.675191,0.786682,
2026/4/2 13:38:38,19.333515,3.881214,97.083331,907.278916,3.674765,0.786699,
2026/4/2 13:48:38,19.500326,3.880643,97.069045,907.145404,3.674401,0.786719,
2026/4/2 13:58:41,19.667804,3.879953,97.051785,906.984110,3.673825,0.786730,
2026/4/2 14:08:42,19.834625,3.879153,97.031774,906.797095,3.673276,0.786723,
2026/4/2 14:18:44,20.002100,3.878653,97.019268,906.680224,3.672997,0.786736,
2026/4/2 14:28:49,20.169974,3.877681,96.994966,906.453112,3.672870,0.786737,
2026/4/2 14:38:51,20.337392,3.877042,96.978989,906.303803,3.672506,0.786734,
2026/4/2 14:48:51,20.504062,3.876589,96.967645,906.197791,3.672121,0.786750,
2026/4/2 14:58:56,20.672039,3.875622,96.943459,905.971757,3.672033,0.786741,
2026/4/2 15:08:56,20.838784,3.874704,96.920496,905.757165,3.671939,0.786713,
2026/4/2 15:18:57,21.005641,3.874032,96.903698,905.600183,3.672094,0.786718,
2026/4/2 15:28:57,21.172313,3.873469,96.889606,905.468482,3.672282,0.786712,
2026/4/2 15:38:57,21.338986,3.872577,96.867287,905.259909,3.672504,0.786714,
2026/4/2 15:48:57,21.505655,3.871890,96.850121,905.099484,3.672363,0.786731,
2026/4/2 15:58:57,21.672324,3.871434,96.838714,904.992878,3.672286,0.786735,
2026/4/2 16:08:57,21.838993,3.870693,96.820170,904.819582,3.672007,0.786751,
2026/4/2 16:18:57,22.005660,3.869902,96.800391,904.634736,3.671383,0.786777,
2026/4/2 16:48:57,22.505668,3.867841,96.748820,904.152791,3.670308,0.786781,
2026/4/2 17:18:57,23.005670,3.865768,96.696965,903.668186,3.668862,0.786804,
2026/4/2 17:48:57,23.505670,3.863669,96.644481,903.177703,3.668398,0.786797,
2026/4/2 18:18:57,24.005673,3.861455,96.589081,902.659971,3.668339,0.786794,
2026/4/2 18:48:57,24.505674,3.859312,96.535485,902.159100,3.668764,0.786773,
2026/4/2 19:18:57,25.005674,3.857255,96.484029,901.678224,3.668508,0.786795,
2026/4/2 19:48:57,25.505676,3.855077,96.429554,901.169136,3.668541,0.786772,
2026/4/2 20:18:57,26.005678,3.852977,96.377026,900.678238,3.669600,0.786751,
2026/4/2 20:48:57,26.505681,3.850845,96.323693,900.179818,3.670344,0.786754,
2026/4/2 21:18:57,27.005685,3.848779,96.272029,899.697005,3.670698,0.786743,
2026/4/2 21:48:57,27.505695,3.846765,96.221645,899.226146,3.670900,0.786746,
2026/4/2 22:18:57,28.005696,3.844620,96.167993,898.724749,3.671657,0.786718,
2026/4/2 22:48:57,28.505699,3.842598,96.117411,898.252040,3.672133,0.786722,
2026/4/2 23:18:57,29.005700,3.840675,96.069302,897.802443,3.672624,0.786725,
2026/4/2 23:48:57,29.505701,3.838622,96.017967,897.322700,3.673461,0.786707,
2026/4/3 0:18:57,30.005703,3.836585,95.966990,896.846306,3.675577,0.786663,
2026/4/3 0:48:57,30.505709,3.834544,95.915960,896.369410,3.677422,0.786658,
2026/4/3 1:18:57,31.005711,3.832603,95.867406,895.915655,3.678237,0.786652,
2026/4/3 1:48:57,31.505712,3.830678,95.819244,895.465560,3.678761,0.786650,
2026/4/3 2:18:57,32.005718,3.828718,95.770223,895.007446,3.679037,0.786640,
2026/4/3 2:48:57,32.505719,3.826752,95.721036,894.547779,3.679958,0.786629,
2026/4/3 3:18:57,33.005721,3.824847,95.673395,894.102553,3.680823,0.786617,
2026/4/3 3:48:57,33.505721,3.822848,95.623401,893.635342,3.682500,0.786592,
2026/4/3 4:18:57,34.005722,3.820982,95.576717,893.199061,3.682640,0.786602,
2026/4/3 4:48:57,34.505722,3.819139,95.530619,892.768262,3.682790,0.786616,
2026/4/3 5:18:57,35.005724,3.817269,95.483829,892.330988,3.682544,0.786607,
2026/4/3 5:48:57,35.505726,3.815261,95.433621,891.861775,3.682968,0.786569,
2026/4/3 6:18:57,36.005727,3.813356,95.385957,891.416342,3.683927,0.786563,
2026/4/3 6:48:57,36.505728,3.811555,95.340922,890.995467,3.683936,0.786579,
2026/4/3 7:18:57,37.005729,3.809826,95.297663,890.591201,3.683383,0.786604,
2026/4/3 7:48:57,37.505730,3.808061,95.253505,890.178527,3.683060,0.786611,
2026/4/3 8:18:57,38.005732,3.806225,95.207591,889.749443,3.682467,0.786610,
2026/4/3 8:48:57,38.505732,3.804527,95.165104,889.352388,3.681993,0.786634,
2026/4/3 9:18:57,39.005733,3.802712,95.119721,888.928271,3.681305,0.786644,
2026/4/3 9:48:57,39.505733,3.800979,95.076372,888.523156,3.680752,0.786649,
2026/4/3 10:18:58,40.005735,3.799250,95.033105,888.118811,3.679389,0.786656,
2026/4/3 10:48:58,40.505735,3.797592,94.991643,887.731332,3.678834,0.786678,
2026/4/3 11:18:58,41.005737,3.795802,94.946879,887.312993,3.678047,0.786686,
2026/4/3 11:48:58,41.505738,3.794028,94.902498,886.898237,3.676735,0.786691,
2026/4/3 12:18:58,42.005744,3.792210,94.857028,886.473306,3.676147,0.786686,
2026/4/3 12:48:58,42.505744,3.790519,94.814729,886.078005,3.676347,0.786698,
2026/4/3 13:18:58,43.005744,3.788718,94.769664,885.656862,3.675843,0.786687,
2026/4/3 13:48:58,43.505744,3.786972,94.725996,885.248767,3.675062,0.786718,
2026/4/3 14:18:58,44.005745,3.785483,94.688751,884.900694,3.674624,0.786721,
2026/4/3 14:48:58,44.505747,3.783540,94.640143,884.446440,3.674457,0.786729,
2026/4/3 15:18:58,45.005747,3.781778,94.596074,884.034599,3.674802,0.786706,
2026/4/3 15:48:58,45.505748,3.780226,94.557257,883.671841,3.674303,0.786726,
2026/4/3 16:18:58,46.005750,3.778338,94.510028,883.230465,3.674096,0.786718,
2026/4/3 16:48:58,46.505755,3.776626,94.467220,882.830405,3.673793,0.786744,
2026/4/3 17:19:00,47.006397,3.775152,94.430349,882.485836,3.674208,0.786722,
