[CC] 0.785000mA,

测量时间,已测时间 (H),光感电流 (uA),亮度剩余比例 (%),器件亮度 (cd/m2),电压 (V),电流 (mA)
2026/4/1 18:17:52,0.000000,4.295837,100.000000,932.030887,3.690257,0.786208,
2026/4/1 18:22:52,0.083334,4.295145,99.983895,931.880783,3.701894,0.786220,
2026/4/1 18:27:52,0.166668,4.293983,99.956847,931.628686,3.703301,0.786197,
2026/4/1 18:32:52,0.250002,4.293081,99.935838,931.432878,3.704329,0.786200,
2026/4/1 18:37:52,0.333336,4.292203,99.915404,931.242426,3.705380,0.786205,
2026/4/1 18:42:52,0.416671,4.291359,99.895763,931.059370,3.706250,0.786194,
2026/4/1 18:47:52,0.500005,4.290395,99.873321,930.850197,3.707305,0.786175,
2026/4/1 18:52:52,0.583339,4.289906,99.861944,930.744159,3.708079,0.786182,
2026/4/1 18:57:52,0.666673,4.288796,99.836094,930.503232,3.708909,0.786158,
2026/4/1 19:02:52,0.750008,4.288061,99.818974,930.343667,3.709533,0.786171,
2026/4/1 19:07:52,0.833343,4.287154,99.797862,930.146902,3.710243,0.786155,
2026/4/1 19:12:52,0.916676,4.286344,99.779010,929.971195,3.711160,0.786142,
2026/4/1 19:17:52,1.000011,4.285697,99.763954,929.830870,3.711628,0.786155,
2026/4/1 19:22:52,1.083345,4.285134,99.750841,929.708647,3.712288,0.786139,
2026/4/1 19:27:52,1.166680,4.284228,99.729757,929.512138,3.712737,0.786151,
2026/4/1 19:32:52,1.250014,4.283451,99.711661,929.343474,3.713284,0.786152,
2026/4/1 19:37:52,1.333348,4.282759,99.695567,929.193475,3.713574,0.786145,
2026/4/1 19:42:52,1.416682,4.281972,99.677232,929.022591,3.714009,0.786153,
2026/4/1 19:47:52,1.500016,4.281271,99.660914,928.870499,3.714337,0.786150,
2026/4/1 19:52:52,1.583351,4.280726,99.648232,928.752299,3.714545,0.786145,
2026/4/1 19:57:52,1.666686,4.279709,99.624574,928.531798,3.714925,0.786141,
2026/4/1 20:02:52,1.750021,4.279025,99.608649,928.383375,3.715215,0.786156,
2026/4/1 20:07:52,1.833356,4.278274,99.591160,928.220368,3.715364,0.786150,
2026/4/1 20:12:52,1.916691,4.277602,99.575527,928.074664,3.715568,0.786157,
2026/4/1 20:17:52,2.000025,4.276847,99.557951,927.910857,3.715686,0.786153,
2026/4/1 20:22:52,2.083359,4.276340,99.546129,927.800670,3.715865,0.786158,
2026/4/1 20:27:52,2.166693,4.275443,99.525265,927.606211,3.715784,0.786175,
2026/4/1 20:32:52,2.250027,4.274639,99.506538,927.431667,3.715779,0.786168,
2026/4/1 20:37:52,2.333362,4.273969,99.490947,927.286357,3.715720,0.786172,
2026/4/1 20:42:52,2.416697,4.273298,99.475325,927.140758,3.715951,0.786176,
2026/4/1 20:47:52,2.500032,4.272673,99.460785,927.005237,3.715795,0.786181,
2026/4/1 20:52:52,2.583367,4.272177,99.449233,926.897572,3.715957,0.786170,
2026/4/1 20:57:52,2.666701,4.271179,99.425993,926.680964,3.715886,0.786177,
2026/4/1 21:02:52,2.750034,4.270481,99.409743,926.529513,3.715962,0.786173,
2026/4/1 21:07:52,2.833369,4.269801,99.393928,926.382110,3.716155,0.786173,
2026/4/1 21:12:52,2.916703,4.269042,99.376250,926.217345,3.716334,0.786171,
2026/4/1 21:17:52,3.000037,4.268427,99.361926,926.083837,3.716561,0.786166,
2026/4/1 21:22:52,3.083371,4.267793,99.347173,925.946338,3.716805,0.786153,
2026/4/1 21:27:52,3.166706,4.266916,99.326757,925.756058,3.717105,0.786161,
2026/4/1 21:32:52,3.250040,4.266354,99.313690,925.634267,3.717372,0.786163,
2026/4/1 21:37:52,3.333375,4.265642,99.297108,925.479714,3.717712,0.786154,
2026/4/1 21:42:52,3.416709,4.264922,99.280354,925.323568,3.718022,0.786139,
2026/4/1 21:47:52,3.500044,4.264287,99.265558,925.185663,3.718324,0.786136,
2026/4/1 21:52:52,3.583378,4.263942,99.257527,925.110812,3.718582,0.786136,
2026/4/1 21:57:52,3.666712,4.263114,99.238267,924.931304,3.718988,0.786141,
2026/4/1 22:02:52,3.750047,4.262423,99.222182,924.781379,3.719286,0.786131,
2026/4/1 22:07:52,3.833382,4.261835,99.208481,924.653686,3.719609,0.786138,
2026/4/1 22:12:52,3.916715,4.261464,99.199850,924.573241,3.719855,0.786131,
2026/4/1 22:17:52,4.000049,4.260880,99.186266,924.446637,3.720019,0.786124,
2026/4/1 22:22:52,4.083385,4.259915,99.163782,924.237074,3.720309,0.786126,
2026/4/1 22:27:52,4.166718,4.259307,99.149633,924.105203,3.720278,0.786127,
2026/4/1 22:32:52,4.250052,4.258741,99.136454,923.982368,3.720558,0.786129,
2026/4/1 22:37:52,4.333387,4.258144,99.122567,923.852942,3.720792,0.786134,
2026/4/1 22:42:52,4.416721,4.257733,99.113001,923.763781,3.720790,0.786125,
2026/4/1 22:47:52,4.500056,4.257101,99.098294,923.626708,3.720884,0.786129,
2026/4/1 22:52:52,4.583389,4.256289,99.079392,923.450532,3.720909,0.786127,
2026/4/1 22:57:52,4.666724,4.255647,99.064448,923.311250,3.720825,0.786130,
2026/4/1 23:02:52,4.750059,4.255168,99.053300,923.207352,3.720692,0.786145,
2026/4/1 23:07:52,4.833394,4.254451,99.036587,923.051579,3.720544,0.786143,
2026/4/1 23:12:52,4.916730,4.254073,99.027807,922.969751,3.720427,0.786136,
2026/4/1 23:17:52,5.000066,4.253404,99.012227,922.824534,3.720524,0.786144,
2026/4/1 23:22:52,5.083400,4.252682,98.995411,922.667808,3.720261,0.786161,
2026/4/1 23:27:52,5.166734,4.252104,98.981966,922.542492,3.720179,0.786157,
2026/4/1 23:32:52,5.250070,4.251466,98.967123,922.404151,3.720083,0.786162,
2026/4/1 23:37:52,5.333404,4.250773,98.950981,922.253704,3.720023,0.786150,
2026/4/1 23:42:52,5.416738,4.250486,98.944305,922.191485,3.720324,0.786160,
2026/4/1 23:47:52,5.500071,4.249856,98.929627,922.054679,3.720169,0.786156,
2026/4/1 23:52:52,5.583407,4.249054,98.910971,921.880802,3.720043,0.786155,
2026/4/1 23:57:52,5.666742,4.248585,98.900053,921.779038,3.719915,0.786168,
2026/4/2 0:02:52,5.750075,4.248075,98.888173,921.668313,3.719884,0.786160,
2026/4/2 0:07:52,5.833410,4.247513,98.875091,921.546389,3.719739,0.786179,
2026/4/2 0:12:52,5.916745,4.247115,98.865827,921.460044,3.719641,0.786173,
2026/4/2 0:17:52,6.000079,4.246451,98.850380,921.316075,3.719563,0.786168,
2026/4/2 0:22:52,6.083413,4.245604,98.830644,921.132124,3.719404,0.786170,
2026/4/2 0:27:52,6.166746,4.245111,98.819173,921.025215,3.719316,0.786180,
2026/4/2 0:32:52,6.250081,4.244524,98.805505,920.897823,3.719304,0.786184,
2026/4/2 0:37:52,6.333415,4.243935,98.791808,920.770167,3.719355,0.786178,
2026/4/2 0:42:52,6.416749,4.243659,98.785385,920.710295,3.719388,0.786170,
2026/4/2 0:47:52,6.500084,4.242956,98.769009,920.557667,3.719428,0.786159,
2026/4/2 0:52:52,6.583418,4.242226,98.752019,920.399314,3.719402,0.786165,
2026/4/2 0:57:52,6.666753,4.241654,98.738707,920.275243,3.719509,0.786159,
2026/4/2 1:02:52,6.750088,4.241194,98.727986,920.175322,3.719650,0.786158,
2026/4/2 1:07:52,6.833423,4.240522,98.712353,920.029615,3.719766,0.786156,
2026/4/2 1:12:52,6.916757,4.240244,98.705887,919.969350,3.719832,0.786156,
2026/4/2 1:17:52,7.000092,4.239748,98.694339,919.861725,3.719949,0.786166,
2026/4/2 1:22:52,7.083428,4.238926,98.675192,919.683270,3.719899,0.786160,
2026/4/2 1:27:52,7.166762,4.238369,98.662236,919.562517,3.719995,0.786144,
2026/4/2 1:32:52,7.250097,4.237845,98.650039,919.448833,3.720072,0.786146,
2026/4/2 1:37:52,7.333430,4.237190,98.634791,919.306721,3.720205,0.786141,
2026/4/2 1:42:52,7.416766,4.236954,98.629307,919.255603,3.720307,0.786149,
2026/4/2 1:47:52,7.500100,4.236198,98.611691,919.091416,3.720451,0.786145,
2026/4/2 1:52:52,7.583434,4.235843,98.603425,919.014377,3.720666,0.786137,
2026/4/2 1:57:52,7.666768,4.235358,98.592139,918.909188,3.720831,0.786139,
2026/4/2 2:02:52,7.750101,4.234909,98.581700,918.811892,3.720774,0.786140,
2026/4/2 2:07:52,7.833435,4.234039,98.561438,918.623049,3.720803,0.786133,
2026/4/2 2:12:52,7.916769,4.233749,98.554683,918.560087,3.720910,0.786139,
2026/4/2 2:17:52,8.000103,4.233081,98.539146,918.415275,3.720865,0.786145,
2026/4/2 2:27:52,8.166771,4.231936,98.512485,918.166786,3.721198,0.786136,
2026/4/2 2:37:52,8.333438,4.231086,98.492694,917.982325,3.721568,0.786133,
2026/4/2 2:47:52,8.500106,4.229755,98.461706,917.693516,3.721963,0.786112,
2026/4/2 2:57:52,8.666774,4.228832,98.440228,917.493332,3.722510,0.786111,
2026/4/2 3:07:52,8.833442,4.227921,98.419012,917.295593,3.723115,0.786080,
2026/4/2 3:17:52,9.000109,4.226742,98.391590,917.040010,3.723618,0.786076,
2026/4/2 3:27:52,9.166777,4.225716,98.367686,916.817221,3.724206,0.786072,
2026/4/2 3:37:52,9.333444,4.224952,98.349905,916.651495,3.724720,0.786062,
2026/4/2 3:47:52,9.500112,4.223752,98.321972,916.391146,3.724999,0.786064,
2026/4/2 3:57:53,9.666781,4.222787,98.299506,916.181755,3.725179,0.786059,
2026/4/2 4:07:53,9.833448,4.222000,98.281202,916.011159,3.725501,0.786065,
2026/4/2 4:17:53,10.000116,4.220906,98.255738,915.773822,3.725446,0.786088,
2026/4/2 4:27:53,10.166786,4.219823,98.230521,915.538795,3.725320,0.786080,
